 Total battles: 227148
 Avg. weight/team: 0.023
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Arceus             | 75.09264% | 32352  |  7.121% | 18044  |  5.960% | 
 | 2    | Groudon            | 48.75126% | 58579  | 12.894% | 41185  | 13.603% | 
 | 3    | Rayquaza           | 48.65655% | 80847  | 17.796% | 47069  | 15.547% | 
 | 4    | Darkrai            | 31.63491% | 55314  | 12.176% | 34438  | 11.375% | 
 | 5    | Klefki             | 29.36924% | 44775  |  9.856% | 20536  |  6.783% | 
 | 6    | Xerneas            | 27.03920% | 34816  |  7.664% | 21716  |  7.173% | 
 | 7    | Kyogre             | 25.02993% | 51677  | 11.375% | 32503  | 10.736% | 
 | 8    | Arceus-Ghost       | 19.51199% | 8486   |  1.868% | 5446   |  1.799% | 
 | 9    | Ditto              | 17.53381% | 38442  |  8.462% | 13026  |  4.303% | 
 | 10   | Lugia              | 14.04724% | 17735  |  3.904% | 11255  |  3.718% | 
 | 11   | Diancie            | 12.08218% | 10089  |  2.221% | 7399   |  2.444% | 
 | 12   | Gengar             | 11.75930% | 43406  |  9.555% | 30488  | 10.070% | 
 | 13   | Smeargle           |  9.45899% | 42472  |  9.349% | 26420  |  8.727% | 
 | 14   | Greninja           |  7.68587% | 57800  | 12.723% | 39759  | 13.132% | 
 | 15   | Deoxys-Attack      |  7.48457% | 11932  |  2.626% | 7206   |  2.380% | 
 | 16   | Mewtwo             |  7.32856% | 31222  |  6.873% | 20699  |  6.837% | 
 | 17   | Talonflame         |  6.76312% | 31550  |  6.945% | 20039  |  6.619% | 
 | 18   | Yveltal            |  5.90843% | 12045  |  2.651% | 8068   |  2.665% | 
 | 19   | Ferrothorn         |  5.64800% | 28092  |  6.184% | 22327  |  7.375% | 
 | 20   | Aegislash          |  5.63440% | 30136  |  6.634% | 20539  |  6.784% | 
 | 21   | Deoxys-Speed       |  5.62912% | 8442   |  1.858% | 6739   |  2.226% | 
 | 22   | Arceus-Fairy       |  5.09484% | 6399   |  1.409% | 4163   |  1.375% | 
 | 23   | Blaziken           |  4.60376% | 34874  |  7.676% | 25291  |  8.354% | 
 | 24   | Shuckle            |  4.07211% | 16295  |  3.587% | 10395  |  3.433% | 
 | 25   | Skarmory           |  4.02031% | 14810  |  3.260% | 12121  |  4.004% | 
 | 26   | Espeon             |  3.63288% | 18131  |  3.991% | 12352  |  4.080% | 
 | 27   | Sableye            |  3.52299% | 21732  |  4.784% | 16063  |  5.306% | 
 | 28   | Kangaskhan         |  3.27601% | 21000  |  4.623% | 15277  |  5.046% | 
 | 29   | Gliscor            |  3.15884% | 25701  |  5.657% | 18561  |  6.131% | 
 | 30   | Scolipede          |  3.11879% | 14996  |  3.301% | 11869  |  3.920% | 
 | 31   | Dialga             |  2.95586% | 11910  |  2.622% | 7912   |  2.613% | 
 | 32   | Arceus-Ground      |  2.79748% | 1583   |  0.348% | 992    |  0.328% | 
 | 33   | Chansey            |  2.74365% | 12741  |  2.805% | 7922   |  2.617% | 
 | 34   | Giratina           |  2.69329% | 4450   |  0.980% | 2903   |  0.959% | 
 | 35   | Arceus-Steel       |  2.68184% | 3088   |  0.680% | 1988   |  0.657% | 
 | 36   | Salamence          |  2.44652% | 25609  |  5.637% | 17541  |  5.794% | 
 | 37   | Genesect           |  2.24255% | 9453   |  2.081% | 6165   |  2.036% | 
