 Total battles: 102217
 Avg. weight/team: 0.025
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kangaskhan         | 41.22041% | 29267  | 14.316% | 16037  | 17.352% | 
 | 2    | Suicune            | 35.24493% | 13626  |  6.665% | 5759   |  6.231% | 
 | 3    | Gengar             | 30.52528% | 38627  | 18.895% | 17395  | 18.822% | 
 | 4    | Landorus-Therian   | 29.37872% | 15228  |  7.449% | 8286   |  8.966% | 
 | 5    | Garchomp           | 29.22645% | 37674  | 18.428% | 17045  | 18.443% | 
 | 6    | Thundurus          | 26.71925% | 16492  |  8.067% | 8327   |  9.010% | 
 | 7    | Cresselia          | 23.61797% | 14441  |  7.064% | 6701   |  7.251% | 
 | 8    | Aegislash          | 20.72361% | 25123  | 12.289% | 10754  | 11.636% | 
 | 9    | Breloom            | 20.54939% | 17622  |  8.620% | 7542   |  8.161% | 
 | 10   | Heatran            | 20.17922% | 14316  |  7.003% | 5934   |  6.421% | 
 | 11   | Blaziken           | 18.79170% | 23693  | 11.590% | 13009  | 14.076% | 
 | 12   | Talonflame         | 12.92247% | 29539  | 14.449% | 13144  | 14.222% | 
 | 13   | Tyranitar          | 12.48486% | 20154  |  9.858% | 8621   |  9.328% | 
 | 14   | Azumarill          | 12.17246% | 22346  | 10.931% | 9576   | 10.361% | 
 | 15   | Zapdos             | 10.48258% | 10431  |  5.102% | 5170   |  5.594% | 
 | 16   | Dragonite          |  9.63308% | 19083  |  9.335% | 8519   |  9.218% | 
 | 17   | Conkeldurr         |  9.09691% | 10715  |  5.241% | 4643   |  5.024% | 
 | 18   | Sylveon            |  9.08262% | 13950  |  6.824% | 5637   |  6.099% | 
 | 19   | Charizard          |  8.53503% | 28924  | 14.148% | 15329  | 16.586% | 
 | 20   | Porygon2           |  8.15723% | 7961   |  3.894% | 3475   |  3.760% | 
 | 21   | Mawile             |  7.94819% | 11841  |  5.792% | 5566   |  6.023% | 
 | 22   | Scizor             |  7.76643% | 17072  |  8.351% | 7003   |  7.577% | 
 | 23   | Mamoswine          |  7.09060% | 8931   |  4.369% | 4483   |  4.851% | 
 | 24   | Venusaur           |  6.77956% | 14895  |  7.286% | 6826   |  7.386% | 
 | 25   | Klefki             |  6.46687% | 9322   |  4.560% | 5069   |  5.485% | 
 | 26   | Clefable           |  6.07686% | 8959   |  4.382% | 3958   |  4.283% | 
 | 27   | Rotom-Wash         |  6.05648% | 16514  |  8.078% | 7976   |  8.630% | 
 | 28   | Latios             |  5.84965% | 7662   |  3.748% | 3425   |  3.706% | 
 | 29   | Hippowdon          |  5.74455% | 4695   |  2.297% | 2718   |  2.941% | 
 | 30   | Entei              |  5.49538% | 3064   |  1.499% | 1544   |  1.671% | 
 | 31   | Raikou             |  5.47688% | 5510   |  2.695% | 2889   |  3.126% | 
 | 32   | Ferrothorn         |  5.35864% | 17633  |  8.625% | 8097   |  8.761% | 
 | 33   | Gyarados           |  5.22482% | 14824  |  7.251% | 7478   |  8.091% | 
 | 34   | Whimsicott         |  4.99517% | 7378   |  3.609% | 3414   |  3.694% | 
 | 35   | Thundurus-Therian  |  4.81406% | 3539   |  1.731% | 1778   |  1.924% | 
 | 36   | Excadrill          |  4.51321% | 6876   |  3.363% | 2982   |  3.227% | 
 | 37   | Gliscor            |  4.16708% | 12390  |  6.061% | 5665   |  6.130% | 
 | 38   | Greninja           |  4.04774% | 24125  | 11.801% | 12171  | 13.169% | 
 | 39   | Lucario            |  4.00082% | 15149  |  7.410% | 7054   |  7.633% | 
 | 40   | Bisharp            |  3.86268% | 6877   |  3.364% | 2520   |  2.727% | 
 | 41   | Gardevoir          |  3.86204% | 15407  |  7.536% | 6920   |  7.488% | 
 | 42   | Cloyster           |  3.13285% | 6790   |  3.321% | 3201   |  3.464% | 
 | 43   | Glalie             |  3.11586% | 1361   |  0.666% | 691    |  0.748% | 
 | 44   | Ditto              |  2.94074% | 5806   |  2.840% | 2496   |  2.701% | 
 | 45   | Wobbuffet          |  2.54927% | 2436   |  1.192% | 1131   |  1.224% | 
 | 46   | Manectric          |  2.49560% | 8079   |  3.952% | 4093   |  4.429% | 
 | 47   | Togekiss           |  2.46675% | 9923   |  4.854% | 4495   |  4.864% | 
 | 48   | Hydreigon          |  2.30867% | 8549   |  4.182% | 3625   |  3.922% | 
 | 49   | Magnezone          |  2.29988% | 4521   |  2.211% | 1902   |  2.058% | 
 | 50   | Trevenant          |  2.27684% | 5360   |  2.622% | 2169   |  2.347% | 
 | 51   | Heracross          |  1.91345% | 9092   |  4.447% | 4255   |  4.604% | 
 | 52   | Pinsir             |  1.84227% | 3982   |  1.948% | 1877   |  2.031% | 
 | 53   | Rotom-Heat         |  1.82175% | 4049   |  1.981% | 1947   |  2.107% | 
 | 54   | Starmie            |  1.81525% | 2648   |  1.295% | 1176   |  1.272% | 
 | 55   | Blissey            |  1.75426% | 3646   |  1.783% | 1337   |  1.447% | 
 | 56   | Slowbro            |  1.62683% | 5133   |  2.511% | 2271   |  2.457% | 
 | 57   | Chesnaught         |  1.57982% | 2733   |  1.337% | 1131   |  1.224% | 
 | 58   | Blastoise          |  1.49416% | 7342   |  3.591% | 3890   |  4.209% | 
 | 59   | Chandelure         |  1.46227% | 6701   |  3.278% | 2957   |  3.200% | 
 | 60   | Politoed           |  1.38335% | 2779   |  1.359% | 1320   |  1.428% | 
 | 61   | Chansey            |  1.37984% | 4446   |  2.175% | 1679   |  1.817% | 
 | 62   | Vaporeon           |  1.36476% | 3758   |  1.838% | 1804   |  1.952% | 
 | 63   | Alakazam           |  1.32814% | 6461   |  3.160% | 2951   |  3.193% | 
