 Total battles: 19250
 Avg. weight/team: 0.016
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Nidoqueen          | 65.19736% | 16608  | 43.138% | 13253  | 42.861% | 
 | 2    | Xatu               | 42.76532% | 10500  | 27.273% | 8695   | 28.120% | 
 | 3    | Klefki             | 41.20664% | 8681   | 22.548% | 7616   | 24.631% | 
 | 4    | Sableye            | 40.04964% | 8754   | 22.738% | 7423   | 24.006% | 
 | 5    | Fletchinder        | 35.37589% | 4885   | 12.688% | 3919   | 12.674% | 
 | 6    | Abomasnow          | 31.10491% | 4930   | 12.805% | 4097   | 13.250% | 
 | 7    | Basculin           | 30.76050% | 9545   | 24.792% | 7340   | 23.738% | 
 | 9    | Rotom              | 18.02674% | 5293   | 13.748% | 4631   | 14.977% | 
 | 10   | Quagsire           | 15.98398% | 9096   | 23.626% | 7230   | 23.382% | 
 | 11   | Raticate           | 13.65692% | 5421   | 14.081% | 4194   | 13.564% | 
 | 12   | Chatot             | 13.45981% | 6527   | 16.953% | 5177   | 16.743% | 
 | 13   | Ferroseed          | 12.42727% | 3334   |  8.660% | 2998   |  9.696% | 
 | 14   | Poliwrath          | 12.36105% | 3655   |  9.494% | 2948   |  9.534% | 
 | 15   | Slurpuff           | 11.69444% | 5980   | 15.532% | 4383   | 14.175% | 
 | 16   | Vivillon           | 11.18244% | 5581   | 14.496% | 4252   | 13.751% | 
 | 17   | Golbat             | 11.04941% | 5799   | 15.062% | 4501   | 14.556% | 
 | 19   | Swanna             | 10.30056% | 2507   |  6.512% | 2058   |  6.656% | 
 | 20   | Malamar            |  8.94045% | 5834   | 15.153% | 4442   | 14.366% | 
 | 21   | Pikachu            |  7.18489% | 6227   | 16.174% | 4918   | 15.905% | 
 | 22   | Gothorita          |  6.87330% | 704    |  1.829% | 575    |  1.860% | 
 | 23   | Smeargle           |  6.86142% | 4193   | 10.891% | 3750   | 12.128% | 
 | 24   | Mawile             |  6.73641% | 2595   |  6.740% | 2108   |  6.817% | 
 | 25   | Wartortle          |  6.44899% | 1991   |  5.171% | 1602   |  5.181% | 
 | 26   | Ditto              |  4.20413% | 2459   |  6.387% | 1875   |  6.064% | 
 | 27   | Combusken          |  4.14241% | 3298   |  8.566% | 2590   |  8.376% | 
 | 28   | Gabite             |  3.96732% | 1533   |  3.982% | 1167   |  3.774% | 
 | 29   | Frogadier          |  3.90349% | 2632   |  6.836% | 2088   |  6.753% | 
 | 30   | Mightyena          |  3.36388% | 1850   |  4.805% | 1406   |  4.547% | 
 | 31   | Murkrow            |  3.19571% | 1607   |  4.174% | 1327   |  4.292% | 
 | 32   | Pawniard           |  3.16508% | 706    |  1.834% | 564    |  1.824% | 
 | 33   | Tropius            |  3.11908% | 2690   |  6.987% | 2092   |  6.766% | 
 | 34   | Ariados            |  3.11609% | 1771   |  4.600% | 1542   |  4.987% | 
 | 35   | Lunatone           |  3.09232% | 1422   |  3.694% | 1173   |  3.794% | 
 | 36   | Shedinja           |  2.80757% | 1426   |  3.704% | 1008   |  3.260% | 
 | 37   | Golduck            |  2.71992% | 1247   |  3.239% | 1009   |  3.263% | 
 | 38   | Floette            |  2.56216% | 1562   |  4.057% | 1200   |  3.881% | 
 | 39   | Lickitung          |  2.50594% | 897    |  2.330% | 739    |  2.390% | 
 | 40   | Porygon            |  2.41337% | 657    |  1.706% | 533    |  1.724% | 
 | 41   | Misdreavus         |  2.30946% | 835    |  2.169% | 702    |  2.270% | 
 | 42   | Stantler           |  2.28839% | 1696   |  4.405% | 1353   |  4.376% | 
 | 43   | Krokorok           |  2.27210% | 662    |  1.719% | 555    |  1.795% | 
 | 44   | Qwilfish           |  2.20981% | 1497   |  3.888% | 1245   |  4.026% | 
 | 45   | Garbodor           |  2.07102% | 1229   |  3.192% | 1000   |  3.234% | 
 | 46   | Eelektrik          |  1.83964% | 379    |  0.984% | 328    |  1.061% | 
 | 47   | Solrock            |  1.82207% | 1147   |  2.979% | 971    |  3.140% | 
 | 48   | Volbeat            |  1.82061% | 1200   |  3.117% | 1055   |  3.412% | 
 | 49   | Wormadam-Trash     |  1.68992% | 965    |  2.506% | 860    |  2.781% | 
 | 50   | Arbok              |  1.52829% | 1605   |  4.169% | 1284   |  4.153% | 
 | 51   | Vullaby            |  1.47556% | 426    |  1.106% | 353    |  1.142% | 
 | 52   | Parasect           |  1.43005% | 1062   |  2.758% | 833    |  2.694% | 
 | 53   | Delibird           |  1.41966% | 695    |  1.805% | 568    |  1.837% | 
 | 54   | Monferno           |  1.34946% | 1076   |  2.795% | 914    |  2.956% | 
 | 55   | Klang              |  1.28317% | 1159   |  3.010% | 965    |  3.121% | 
 | 56   | Seaking            |  1.27120% | 662    |  1.719% | 519    |  1.678% | 
 | 57   | Pupitar            |  1.14037% | 469    |  1.218% | 358    |  1.158% | 
 | 58   | Quilladin          |  0.94546% | 387    |  1.005% | 327    |  1.058% | 
 | 59   | Dragonair          |  0.93212% | 1199   |  3.114% | 942    |  3.046% | 
 | 60   | Butterfree         |  0.93070% | 806    |  2.094% | 625    |  2.021% | 
 | 61   | Girafarig          |  0.79292% | 884    |  2.296% | 698    |  2.257% | 
 | 62   | Carvanha           |  0.76793% | 359    |  0.932% | 259    |  0.838% | 
 | 63   | Masquerain         |  0.74493% | 952    |  2.473% | 821    |  2.655% | 
 | 64   | Pineco             |  0.72203% | 495    |  1.286% | 422    |  1.365% | 
 | 65   | Trubbish           |  0.71142% | 35     |  0.091% | 32     |  0.103% | 
 | 66   | Zweilous           |  0.70450% | 938    |  2.436% | 683    |  2.209% | 
 | 67   | Dewgong            |  0.69694% | 864    |  2.244% | 715    |  2.312% | 
 | 68   | Phione             |  0.63418% | 690    |  1.792% | 558    |  1.805% | 
 | 69   | Lampent            |  0.61433% | 897    |  2.330% | 727    |  2.351% | 
 | 70   | Plusle             |  0.58407% | 675    |  1.753% | 569    |  1.840% | 
 | 71   | Charmeleon         |  0.56460% | 401    |  1.042% | 295    |  0.954% | 
 | 72   | Grovyle            |  0.55992% | 430    |  1.117% | 343    |  1.109% | 
 | 73   | Bibarel            |  0.53512% | 1063   |  2.761% | 821    |  2.655% | 
 | 74   | Vigoroth           |  0.53321% | 1083   |  2.813% | 827    |  2.675% | 
 | 75   | Magnemite          |  0.52402% | 219    |  0.569% | 174    |  0.563% | 
 | 76   | Vulpix             |  0.50914% | 369    |  0.958% | 347    |  1.122% | 
 | 77   | Swadloon           |  0.50850% | 140    |  0.364% | 116    |  0.375% | 
 | 78   | Weepinbell         |  0.50000% | 267    |  0.694% | 220    |  0.711% | 
 | 79   | Drilbur            |  0.46815% | 168    |  0.436% | 134    |  0.433% | 
 | 80   | Anorith            |  0.46803% | 241    |  0.626% | 191    |  0.618% | 
 | 81   | Illumise           |  0.44464% | 193    |  0.501% | 168    |  0.543% | 
 | 82   | Clefairy           |  0.44218% | 348    |  0.904% | 289    |  0.935% | 
 | 83   | Chimecho           |  0.44050% | 619    |  1.608% | 479    |  1.549% | 
 | 84   | Vibrava            |  0.43826% | 256    |  0.665% | 198    |  0.640% | 
