 Total battles: 55373
 Avg. weight/team: 0.012
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragalge           | 41.30651% | 22178  | 20.026% | 17639  | 19.797% | 
 | 2    | Weezing            | 21.14599% | 14929  | 13.480% | 12498  | 14.027% | 
 | 3    | Slurpuff           | 19.91064% | 12269  | 11.079% | 8691   |  9.754% | 
 | 4    | Pangoro            | 19.48033% | 10387  |  9.379% | 8183   |  9.184% | 
 | 5    | Lopunny            | 18.73397% | 9905   |  8.944% | 8599   |  9.651% | 
 | 6    | Mesprit            | 17.88739% | 8920   |  8.054% | 7163   |  8.040% | 
 | 7    | Feraligatr         | 16.09941% | 14533  | 13.123% | 10939  | 12.278% | 
 | 8    | Altaria            | 15.98217% | 9503   |  8.581% | 7478   |  8.393% | 
 | 9    | Sceptile           | 13.66423% | 16725  | 15.102% | 13038  | 14.633% | 
 | 10   | Steelix            | 13.60203% | 11978  | 10.816% | 10493  | 11.777% | 
 | 11   | Hariyama           | 13.31330% | 9875   |  8.917% | 8245   |  9.254% | 
 | 12   | Archeops           | 12.82515% | 10288  |  9.290% | 8632   |  9.688% | 
 | 13   | Beedrill           | 12.72097% | 11515  | 10.398% | 9583   | 10.756% | 
 | 14   | Seismitoad         | 12.54199% | 8723   |  7.877% | 7704   |  8.647% | 
 | 15   | Kangaskhan         | 11.13652% | 5694   |  5.141% | 4634   |  5.201% | 
 | 16   | Typhlosion         | 10.56980% | 14990  | 13.535% | 11508  | 12.916% | 
 | 17   | Sawk               | 10.50395% | 6495   |  5.865% | 5037   |  5.653% | 
 | 18   | Uxie               | 10.14232% | 9900   |  8.939% | 8724   |  9.792% | 
 | 19   | Mismagius          |  8.73386% | 11268  | 10.175% | 8819   |  9.898% | 
 | 20   | Lanturn            |  8.57147% | 10665  |  9.630% | 8757   |  9.829% | 
 | 21   | Xatu               |  8.17487% | 9952   |  8.986% | 8159   |  9.157% | 
 | 22   | Sandslash          |  7.58731% | 8965   |  8.095% | 7647   |  8.583% | 
 | 23   | Vileplume          |  7.58304% | 6173   |  5.574% | 5112   |  5.738% | 
 | 24   | Kecleon            |  7.56051% | 4206   |  3.798% | 3447   |  3.869% | 
 | 25   | Rotom-Fan          |  7.26601% | 6346   |  5.730% | 5298   |  5.946% | 
 | 26   | Liepard            |  7.02484% | 7695   |  6.948% | 6295   |  7.065% | 
 | 27   | Metang             |  6.91950% | 1537   |  1.388% | 1332   |  1.495% | 
 | 28   | Pidgeot            |  6.71359% | 5705   |  5.151% | 4654   |  5.223% | 
 | 29   | Audino             |  6.68321% | 8185   |  7.391% | 6260   |  7.026% | 
 | 30   | Crustle            |  6.50278% | 6104   |  5.512% | 5466   |  6.135% | 
 | 31   | Rotom              |  6.40649% | 5144   |  4.645% | 4272   |  4.795% | 
 | 32   | Kabutops           |  6.08835% | 6337   |  5.722% | 4956   |  5.562% | 
 | 33   | Ferroseed          |  6.06130% | 7742   |  6.991% | 7068   |  7.933% | 
 | 34   | Probopass          |  5.78152% | 4501   |  4.064% | 3914   |  4.393% | 
 | 35   | Klinklang          |  5.39628% | 6637   |  5.993% | 5296   |  5.944% | 
 | 36   | Qwilfish           |  5.36468% | 3649   |  3.295% | 3196   |  3.587% | 
 | 37   | Cryogonal          |  5.30616% | 7325   |  6.614% | 5516   |  6.191% | 
 | 38   | Garbodor           |  5.18143% | 2262   |  2.043% | 1976   |  2.218% | 
 | 39   | Musharna           |  5.05357% | 3440   |  3.106% | 2708   |  3.039% | 
 | 40   | Pyroar             |  5.00982% | 8680   |  7.838% | 6589   |  7.395% | 
 | 41   | Camerupt           |  4.84576% | 3971   |  3.586% | 3400   |  3.816% | 
 | 42   | Jynx               |  4.83893% | 5197   |  4.693% | 3980   |  4.467% | 
 | 43   | Cacturne           |  4.73860% | 5995   |  5.413% | 4625   |  5.191% | 
 | 44   | Rhydon             |  4.70757% | 4786   |  4.322% | 4017   |  4.509% | 
 | 45   | Magmortar          |  4.70716% | 8769   |  7.918% | 6615   |  7.424% | 
 | 46   | Malamar            |  4.44112% | 8576   |  7.744% | 6839   |  7.676% | 
 | 47   | Granbull           |  4.38588% | 5745   |  5.188% | 4635   |  5.202% | 
 | 48   | Torkoal            |  3.94861% | 5601   |  5.058% | 4883   |  5.481% | 
 | 49   | Prinplup           |  3.93356% | 816    |  0.737% | 728    |  0.817% | 
 | 50   | Glalie             |  3.90095% | 3001   |  2.710% | 2519   |  2.827% | 
 | 51   | Carbink            |  3.82881% | 1327   |  1.198% | 1194   |  1.340% | 
 | 52   | Cradily            |  3.26918% | 6357   |  5.740% | 5179   |  5.813% | 
 | 53   | Exeggutor          |  3.25782% | 5319   |  4.803% | 4122   |  4.626% | 
 | 54   | Gorebyss           |  3.16882% | 4142   |  3.740% | 3354   |  3.764% | 
 | 55   | Zangoose           |  3.14624% | 7663   |  6.919% | 5849   |  6.565% | 
