 Total battles: 2374267
 Avg. weight/team: 0.018
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Aegislash          | 24.03674% | 715865 | 15.075% | 563376 | 15.011% | 
 | 2    | Charizard          | 16.92902% | 907002 | 19.101% | 720439 | 19.196% | 
 | 3    | Thundurus          | 16.31030% | 205664 |  4.331% | 164964 |  4.395% | 
 | 4    | Rotom-Wash         | 16.29114% | 602746 | 12.693% | 514393 | 13.706% | 
 | 5    | Bisharp            | 15.65050% | 336406 |  7.084% | 260269 |  6.935% | 
 | 6    | Heatran            | 15.37011% | 378885 |  7.979% | 318556 |  8.488% | 
 | 7    | Garchomp           | 15.02619% | 551693 | 11.618% | 423544 | 11.285% | 
 | 8    | Keldeo             | 14.63515% | 186434 |  3.926% | 145749 |  3.883% | 
 | 9    | Scizor             | 13.60336% | 571924 | 12.044% | 451770 | 12.037% | 
 | 10   | Azumarill          | 13.43373% | 476015 | 10.024% | 382728 | 10.198% | 
 | 11   | Landorus-Therian   | 13.22961% | 244170 |  5.142% | 212567 |  5.664% | 
 | 12   | Latios             | 12.57263% | 320995 |  6.760% | 238846 |  6.364% | 
 | 13   | Skarmory           | 12.22726% | 341637 |  7.195% | 292910 |  7.805% | 
 | 14   | Talonflame         | 11.80948% | 588074 | 12.384% | 465994 | 12.416% | 
 | 15   | Tyranitar          | 11.78586% | 458456 |  9.655% | 371805 |  9.907% | 
 | 16   | Greninja           | 11.65079% | 786599 | 16.565% | 616931 | 16.438% | 
 | 17   | Excadrill          | 11.00680% | 384057 |  8.088% | 290182 |  7.732% | 
 | 18   | Venusaur           | 10.57187% | 402578 |  8.478% | 315370 |  8.403% | 
 | 19   | Ferrothorn         | 10.54446% | 529648 | 11.154% | 462153 | 12.314% | 
 | 20   | Dragonite          |  9.94543% | 520349 | 10.958% | 390916 | 10.416% | 
 | 21   | Chansey            |  9.94438% | 185239 |  3.901% | 143375 |  3.820% | 
 | 22   | Gyarados           |  9.65026% | 315099 |  6.636% | 250466 |  6.674% | 
 | 23   | Mawile             |  9.00775% | 264396 |  5.568% | 205309 |  5.470% | 
 | 24   | Conkeldurr         |  8.66184% | 382193 |  8.049% | 307687 |  8.198% | 
