 Total battles: 1176595
 Avg. weight/team: 0.007
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Garchomp           | 27.52205% | 267068 | 11.349% | 215114 | 11.639% | 
 | 2    | Landorus-Therian   | 24.69907% | 360230 | 15.308% | 309675 | 16.756% | 
 | 3    | Bisharp            | 21.87291% | 229956 |  9.772% | 170627 |  9.232% | 
 | 4    | Latias             | 18.52562% | 166019 |  7.055% | 120802 |  6.536% | 
 | 5    | Keldeo             | 18.51881% | 220372 |  9.365% | 170211 |  9.210% | 
 | 6    | Scizor             | 18.39372% | 318875 | 13.551% | 253695 | 13.727% | 
 | 7    | Heatran            | 16.97567% | 344800 | 14.652% | 291485 | 15.771% | 
 | 8    | Ferrothorn         | 16.75200% | 341762 | 14.523% | 297956 | 16.121% | 
 | 9    | Talonflame         | 15.57808% | 343311 | 14.589% | 264857 | 14.331% | 
 | 10   | Starmie            | 14.45491% | 173274 |  7.363% | 131588 |  7.120% | 
 | 11   | Slowbro            | 13.81053% | 162634 |  6.911% | 130322 |  7.051% | 
 | 12   | Latios             | 12.70019% | 240044 | 10.201% | 176207 |  9.534% | 
 | 13   | Tyranitar          | 12.68985% | 220184 |  9.357% | 178903 |  9.680% | 
 | 14   | Rotom-Wash         | 12.26336% | 340140 | 14.454% | 290885 | 15.739% | 
 | 15   | Excadrill          | 11.92524% | 213140 |  9.057% | 161244 |  8.724% | 
 | 16   | Landorus           | 11.14336% | 99799  |  4.241% | 76747  |  4.153% | 
 | 17   | Gardevoir          | 10.95920% | 142792 |  6.068% | 106148 |  5.743% | 
 | 18   | Azumarill          | 10.66828% | 266398 | 11.321% | 210346 | 11.381% | 
 | 19   | Gengar             | 10.58121% | 279772 | 11.889% | 207233 | 11.213% | 
 | 20   | Skarmory           | 10.57248% | 171826 |  7.302% | 147945 |  8.005% | 
 | 21   | Clefable           | 10.42034% | 196237 |  8.339% | 151982 |  8.223% | 
 | 22   | Breloom            | 10.31160% | 165057 |  7.014% | 125525 |  6.792% | 
 | 23   | Manaphy            | 10.19171% | 61684  |  2.621% | 48530  |  2.626% | 
 | 24   | Charizard          |  9.94152% | 290307 | 12.337% | 228075 | 12.340% | 
 | 25   | Metagross          |  9.03103% | 218553 |  9.288% | 169252 |  9.158% | 
 | 26   | Thundurus          |  8.83369% | 126259 |  5.365% | 99537  |  5.386% | 
 | 27   | Serperior          |  8.08126% | 154601 |  6.570% | 118379 |  6.405% | 
 | 28   | Gyarados           |  8.06248% | 161713 |  6.872% | 128321 |  6.943% | 
 | 29   | Chansey            |  8.04576% | 134842 |  5.730% | 102905 |  5.568% | 
 | 30   | Diancie            |  7.68979% | 83120  |  3.532% | 67222  |  3.637% | 
 | 31   | Lopunny            |  7.64240% | 156294 |  6.642% | 129091 |  6.985% | 
 | 32   | Hippowdon          |  7.42473% | 53470  |  2.272% | 47001  |  2.543% | 
 | 33   | Gliscor            |  7.36460% | 218224 |  9.274% | 172141 |  9.314% | 
 | 34   | Altaria            |  7.11460% | 116021 |  4.930% | 87802  |  4.751% | 
 | 35   | Gothitelle         |  6.87701% | 47019  |  1.998% | 35316  |  1.911% | 
 | 36   | Venusaur           |  6.66441% | 166224 |  7.064% | 130671 |  7.070% | 
 | 37   | Tornadus-Therian   |  6.48535% | 41946  |  1.783% | 34394  |  1.861% | 
 | 38   | Magnezone          |  6.48203% | 124658 |  5.297% | 99324  |  5.374% | 
 | 39   | Dragonite          |  6.44676% | 222648 |  9.462% | 162428 |  8.788% | 
 | 40   | Sableye            |  6.23982% | 170099 |  7.228% | 142779 |  7.725% | 
 | 41   | Raikou             |  6.04137% | 109273 |  4.644% | 86895  |  4.702% | 
 | 42   | Klefki             |  5.77931% | 65850  |  2.798% | 57035  |  3.086% | 
 | 43   | Kyurem-Black       |  5.28909% | 81388  |  3.459% | 59910  |  3.242% | 
 | 44   | Mew                |  4.65269% | 91128  |  3.873% | 75253  |  4.072% | 
 | 45   | Celebi             |  4.40723% | 77108  |  3.277% | 61534  |  3.329% | 
 | 46   | Zapdos             |  4.08755% | 85101  |  3.616% | 68662  |  3.715% | 
 | 47   | Jirachi            |  3.65819% | 87357  |  3.712% | 68727  |  3.719% | 
 | 48   | Quagsire           |  3.20122% | 31971  |  1.359% | 25053  |  1.356% | 
 | 49   | Amoonguss          |  2.99567% | 33536  |  1.425% | 26927  |  1.457% | 
 | 50   | Mamoswine          |  2.86294% | 94316  |  4.008% | 77732  |  4.206% | 
 | 51   | Pinsir             |  2.79712% | 50162  |  2.132% | 36865  |  1.995% | 
 | 52   | Alakazam           |  2.77386% | 92372  |  3.925% | 67581  |  3.657% | 
 | 53   | Conkeldurr         |  2.75968% | 170106 |  7.229% | 133714 |  7.235% | 
 | 54   | Manectric          |  2.73983% | 96864  |  4.116% | 78979  |  4.273% | 
 | 55   | Sylveon            |  2.68366% | 168658 |  7.167% | 126474 |  6.843% | 
 | 56   | Volcarona          |  2.33940% | 105953 |  4.503% | 79506  |  4.302% | 
 | 57   | Cresselia          |  2.27984% | 20660  |  0.878% | 15599  |  0.844% | 
 | 58   | Weavile            |  2.21385% | 81045  |  3.444% | 62359  |  3.374% | 
 | 59   | Azelf              |  2.20852% | 33680  |  1.431% | 30719  |  1.662% | 
 | 60   | Hydreigon          |  2.19571% | 58463  |  2.484% | 45013  |  2.436% | 
 | 61   | Victini            |  2.18029% | 51687  |  2.196% | 41415  |  2.241% | 
 | 62   | Mandibuzz          |  2.06483% | 72128  |  3.065% | 56638  |  3.065% | 
 | 63   | Politoed           |  1.82710% | 58349  |  2.480% | 53885  |  2.916% | 
 | 64   | Infernape          |  1.76140% | 70109  |  2.979% | 56132  |  3.037% | 
 | 65   | Diggersby          |  1.61724% | 39086  |  1.661% | 29671  |  1.605% | 
 | 66   | Terrakion          |  1.56630% | 41975  |  1.784% | 32071  |  1.735% | 
 | 67   | Scolipede          |  1.54576% | 78065  |  3.317% | 66651  |  3.606% | 
 | 68   | Chesnaught         |  1.53945% | 33526  |  1.425% | 26588  |  1.439% | 
 | 69   | Feraligatr         |  1.51899% | 50499  |  2.146% | 37790  |  2.045% | 
 | 70   | Heracross          |  1.51748% | 67266  |  2.859% | 49907  |  2.700% | 
 | 71   | Tentacruel         |  1.49885% | 56548  |  2.403% | 45062  |  2.438% | 
 | 72   | Seismitoad         |  1.47098% | 18514  |  0.787% | 16306  |  0.882% | 
 | 73   | Sceptile           |  1.46429% | 65591  |  2.787% | 49711  |  2.690% | 
 | 74   | Togekiss           |  1.42618% | 102692 |  4.364% | 77628  |  4.200% | 
 | 75   | Gallade            |  1.31975% | 116602 |  4.955% | 85560  |  4.629% | 
 | 76   | Suicune            |  1.13380% | 30633  |  1.302% | 24280  |  1.314% | 
 | 77   | Tangrowth          |  1.09497% | 15217  |  0.647% | 12116  |  0.656% | 
 | 78   | Alomomola          |  1.06448% | 13277  |  0.564% | 10434  |  0.565% | 
 | 79   | Aerodactyl         |  0.96254% | 37052  |  1.575% | 28903  |  1.564% | 
 | 80   | Donphan            |  0.93272% | 43776  |  1.860% | 36836  |  1.993% | 
 | 81   | Empoleon           |  0.91058% | 34160  |  1.452% | 28272  |  1.530% | 
 | 82   | Crawdaunt          |  0.90184% | 41601  |  1.768% | 31567  |  1.708% | 
 | 83   | Swampert           |  0.89738% | 74193  |  3.153% | 60972  |  3.299% | 
 | 84   | Aegislash          |  0.89001% | 74000  |  3.153% | 60972  |  3.299% | 
 | 84   | Medicham           |  0.85223% | 41930  |  1.782% | 33209  |  1.797% | 
 | 85   | Kabutops           |  0.83868% | 15643  |  0.665% | 11232  |  0.608% | 
 | 86   | Dragalge           |  0.81167% | 19749  |  0.839% | 15264  |  0.826% | 
