 Total battles: 159608
 Avg. weight/team: 0.004
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 33.35958% | 27256  |  8.538% | 0      |  0.000% | 
 | 2    | Heatran            | 32.18270% | 22425  |  7.025% | 0      |  0.000% | 
 | 3    | Kangaskhan         | 31.02094% | 21522  |  6.742% | 0      |  0.000% | 
 | 4    | Amoonguss          | 21.74403% | 19674  |  6.163% | 0      |  0.000% | 
 | 5    | Sylveon            | 19.30587% | 20504  |  6.423% | 0      |  0.000% | 
 | 6    | Azumarill          | 17.14719% | 23860  |  7.475% | 0      |  0.000% | 
 | 7    | Rotom-Wash         | 17.14318% | 26377  |  8.263% | 0      |  0.000% | 
 | 8    | Talonflame         | 16.13565% | 42164  | 13.209% | 0      |  0.000% | 
 | 9    | Thundurus          | 15.16550% | 16569  |  5.191% | 0      |  0.000% | 
 | 10   | Salamence          | 12.38295% | 28671  |  8.982% | 0      |  0.000% | 
 | 11   | Zapdos             | 11.65927% | 14953  |  4.684% | 0      |  0.000% | 
 | 12   | Aegislash          | 11.63392% | 18081  |  5.664% | 0      |  0.000% | 
 | 13   | Charizard          | 10.92671% | 36888  | 11.556% | 0      |  0.000% | 
 | 14   | Cresselia          | 10.10962% | 10740  |  3.364% | 0      |  0.000% | 
 | 15   | Bisharp            | 10.02655% | 17071  |  5.348% | 0      |  0.000% | 
 | 16   | Hitmontop          |  9.14845% | 8411   |  2.635% | 0      |  0.000% | 
 | 17   | Keldeo             |  9.01556% | 6429   |  2.014% | 0      |  0.000% | 
 | 18   | Togekiss           |  8.63936% | 25893  |  8.111% | 0      |  0.000% | 
 | 19   | Shaymin-Sky        |  8.41171% | 6243   |  1.956% | 0      |  0.000% | 
 | 20   | Terrakion          |  8.34405% | 13735  |  4.303% | 0      |  0.000% | 
 | 21   | Kyurem-Black       |  7.65138% | 4739   |  1.485% | 0      |  0.000% | 
 | 22   | Chandelure         |  7.47285% | 9999   |  3.132% | 0      |  0.000% | 
 | 23   | Garchomp           |  7.47122% | 33387  | 10.459% | 0      |  0.000% | 
 | 24   | Gardevoir          |  7.45068% | 28884  |  9.048% | 0      |  0.000% | 
 | 25   | Breloom            |  7.08682% | 16429  |  5.147% | 0      |  0.000% | 
 | 26   | Mew                |  6.28124% | 6956   |  2.179% | 0      |  0.000% | 
 | 27   | Tyranitar          |  6.15077% | 23600  |  7.393% | 0      |  0.000% | 
 | 28   | Politoed           |  6.08354% | 21008  |  6.581% | 0      |  0.000% | 
 | 29   | Scizor             |  5.85239% | 17157  |  5.375% | 0      |  0.000% | 
 | 30   | Metagross          |  5.72977% | 21304  |  6.674% | 0      |  0.000% | 
 | 31   | Deoxys-Attack      |  5.49822% | 5773   |  1.808% | 0      |  0.000% | 
 | 32   | Gyarados           |  5.16787% | 19511  |  6.112% | 0      |  0.000% | 
 | 33   | Suicune            |  5.02834% | 4844   |  1.517% | 0      |  0.000% | 
 | 34   | Camerupt           |  4.98172% | 9186   |  2.878% | 0      |  0.000% | 
 | 35   | Conkeldurr         |  4.93399% | 14866  |  4.657% | 0      |  0.000% | 
 | 36   | Ludicolo           |  4.77525% | 12245  |  3.836% | 0      |  0.000% | 
 | 37   | Thundurus-Therian  |  4.65693% | 6359   |  1.992% | 0      |  0.000% | 
 | 38   | Ferrothorn         |  4.50077% | 22390  |  7.014% | 0      |  0.000% | 
 | 39   | Jirachi            |  4.38316% | 6080   |  1.905% | 0      |  0.000% | 
 | 40   | Diancie            |  4.32369% | 6859   |  2.149% | 0      |  0.000% | 
 | 41   | Mamoswine          |  4.28295% | 11281  |  3.534% | 0      |  0.000% | 
 | 42   | Scrafty            |  4.17383% | 9188   |  2.878% | 0      |  0.000% | 
 | 43   | Dusclops           |  4.12040% | 8105   |  2.539% | 0      |  0.000% | 
 | 44   | Mawile             |  4.06284% | 10227  |  3.204% | 0      |  0.000% | 
 | 45   | Greninja           |  4.00372% | 40629  | 12.728% | 0      |  0.000% | 
 | 46   | Rhyperior          |  3.96320% | 5395   |  1.690% | 0      |  0.000% | 
 | 47   | Dragonite          |  3.77548% | 20760  |  6.503% | 0      |  0.000% | 
 | 48   | Escavalier         |  3.55125% | 2639   |  0.827% | 0      |  0.000% | 
 | 49   | Excadrill          |  3.54357% | 12600  |  3.947% | 0      |  0.000% | 
 | 50   | Volcarona          |  3.40227% | 10035  |  3.144% | 0      |  0.000% | 
 | 51   | Gengar             |  3.38356% | 22922  |  7.181% | 0      |  0.000% | 
 | 52   | Hydreigon          |  3.37410% | 9937   |  3.113% | 0      |  0.000% | 
 | 53   | Medicham           |  3.36912% | 5669   |  1.776% | 0      |  0.000% | 
 | 54   | Venusaur           |  3.28445% | 16373  |  5.129% | 0      |  0.000% | 
 | 55   | Rotom-Heat         |  3.27499% | 7096   |  2.223% | 0      |  0.000% | 
 | 56   | Swampert           |  3.21931% | 19380  |  6.071% | 0      |  0.000% | 
 | 57   | Porygon2           |  3.21741% | 7331   |  2.297% | 0      |  0.000% | 
 | 58   | Genesect           |  3.10481% | 3965   |  1.242% | 0      |  0.000% | 
 | 59   | Latias             |  2.98334% | 7153   |  2.241% | 0      |  0.000% | 
 | 60   | Whimsicott         |  2.78911% | 14448  |  4.526% | 0      |  0.000% | 
 | 61   | Latios             |  2.64882% | 9641   |  3.020% | 0      |  0.000% | 
 | 62   | Ninetales          |  2.60666% | 11675  |  3.657% | 0      |  0.000% | 
 | 63   | Ampharos           |  2.39289% | 5513   |  1.727% | 0      |  0.000% | 
 | 64   | Sableye            |  2.34645% | 24236  |  7.592% | 0      |  0.000% | 
 | 65   | Weavile            |  2.33306% | 11017  |  3.451% | 0      |  0.000% | 
 | 66   | Sceptile           |  2.20880% | 23232  |  7.278% | 0      |  0.000% | 
 | 67   | Landorus           |  2.14308% | 2993   |  0.938% | 0      |  0.000% | 
 | 68   | Machamp            |  2.13621% | 8269   |  2.590% | 0      |  0.000% | 
 | 69   | Victini            |  2.09117% | 5070   |  1.588% | 0      |  0.000% | 
 | 70   | Manectric          |  2.07794% | 13331  |  4.176% | 0      |  0.000% | 
 | 71   | Infernape          |  2.02812% | 8364   |  2.620% | 0      |  0.000% | 
 | 72   | Aromatisse         |  1.94266% | 5894   |  1.846% | 0      |  0.000% | 
 | 73   | Klefki             |  1.70674% | 13600  |  4.260% | 0      |  0.000% | 
 | 74   | Reuniclus          |  1.59391% | 5945   |  1.862% | 0      |  0.000% | 
 | 75   | Slowbro            |  1.59297% | 14216  |  4.453% | 0      |  0.000% | 
 | 76   | Darkrai            |  1.57202% | 2166   |  0.679% | 0      |  0.000% | 
 | 77   | Kingdra            |  1.49876% | 8354   |  2.617% | 0      |  0.000% | 
 | 78   | Clefable           |  1.46175% | 15836  |  4.961% | 0      |  0.000% | 
 | 79   | Vivillon           |  1.42933% | 2168   |  0.679% | 0      |  0.000% | 
 | 80   | Raichu             |  1.35738% | 6556   |  2.054% | 0      |  0.000% | 
 | 81   | Bronzong           |  1.27945% | 4250   |  1.331% | 0      |  0.000% | 
 | 82   | Milotic            |  1.26904% | 10770  |  3.374% | 0      |  0.000% | 
 | 83   | Jellicent          |  1.26672% | 3370   |  1.056% | 0      |  0.000% | 
 | 84   | Noivern            |  1.14471% | 5098   |  1.597% | 0      |  0.000% | 
 | 85   | Cherrim            |  1.13951% | 1103   |  0.346% | 0      |  0.000% | 
 | 86   | Blaziken           |  1.09928% | 10156  |  3.182% | 0      |  0.000% | 
 | 87   | Meowstic           |  1.09381% | 13543  |  4.243% | 0      |  0.000% | 
 | 88   | Hariyama           |  1.07721% | 4172   |  1.307% | 0      |  0.000% | 
 | 89   | Snorlax            |  1.05928% | 7481   |  2.344% | 0      |  0.000% | 
 | 90   | Arcanine           |  1.05922% | 16564  |  5.189% | 0      |  0.000% | 
 | 91   | Gallade            |  1.00382% | 12203  |  3.823% | 0      |  0.000% | 
 | 92   | Crawdaunt          |  0.94365% | 4930   |  1.544% | 0      |  0.000% | 
 | 93   | Marowak            |  0.91776% | 2595   |  0.813% | 0      |  0.000% | 
 | 94   | Tornadus           |  0.89250% | 1798   |  0.563% | 0      |  0.000% | 
 | 95   | Gastrodon          |  0.89169% | 6572   |  2.059% | 0      |  0.000% | 
 | 96   | Blastoise          |  0.88634% | 8436   |  2.643% | 0      |  0.000% | 
 | 97   | Staraptor          |  0.85640% | 7242   |  2.269% | 0      |  0.000% | 
 | 98   | Aerodactyl         |  0.85638% | 8539   |  2.675% | 0      |  0.000% | 
 | 99   | Lopunny            |  0.85384% | 7780   |  2.437% | 0      |  0.000% | 
 | 100  | Cofagrigus         |  0.79685% | 4930   |  1.544% | 0      |  0.000% | 
 | 101  | Gothitelle         |  0.78794% | 8390   |  2.628% | 0      |  0.000% | 
 | 102  | Glalie             |  0.78686% | 2848   |  0.892% | 0      |  0.000% | 
 | 103  | Gourgeist-Super    |  0.76317% | 1839   |  0.576% | 0      |  0.000% | 
 | 104  | Magnezone          |  0.74878% | 7971   |  2.497% | 0      |  0.000% | 
 | 105  | Abomasnow          |  0.71396% | 5121   |  1.604% | 0      |  0.000% | 
 | 106  | Lucario            |  0.67481% | 11638  |  3.646% | 0      |  0.000% | 
 | 107  | Goodra             |  0.65483% | 7953   |  2.491% | 0      |  0.000% | 
 | 108  | Heracross          |  0.64634% | 5030   |  1.576% | 0      |  0.000% | 
 | 109  | Slowking           |  0.61904% | 3100   |  0.971% | 0      |  0.000% | 
 | 110  | Nidoking           |  0.60361% | 3909   |  1.225% | 0      |  0.000% | 
 | 111  | Jolteon            |  0.59748% | 8603   |  2.695% | 0      |  0.000% | 
 | 112  | Eelektross         |  0.59445% | 5589   |  1.751% | 0      |  0.000% | 
 | 113  | Typhlosion         |  0.57371% | 5666   |  1.775% | 0      |  0.000% | 
 | 114  | Malamar            |  0.57355% | 5766   |  1.806% | 0      |  0.000% | 
 | 115  | Toxicroak          |  0.56784% | 5023   |  1.574% | 0      |  0.000% | 
 | 116  | Cradily            |  0.56401% | 6169   |  1.933% | 0      |  0.000% | 
 | 117  | Altaria            |  0.55351% | 7156   |  2.242% | 0      |  0.000% | 
 | 118  | Espeon             |  0.54949% | 7716   |  2.417% | 0      |  0.000% | 
 | 119  | Gliscor            |  0.53946% | 11794  |  3.695% | 0      |  0.000% | 
 | 120  | Darmanitan         |  0.52670% | 3740   |  1.172% | 0      |  0.000% | 
 | 121  | Crobat             |  0.52361% | 6616   |  2.073% | 0      |  0.000% | 
 | 122  | Pachirisu          |  0.49969% | 8586   |  2.690% | 0      |  0.000% | 
 | 123  | Beedrill           |  0.48858% | 4358   |  1.365% | 0      |  0.000% | 
 | 124  | Cloyster           |  0.47117% | 5733   |  1.796% | 0      |  0.000% | 
 | 125  | Alakazam           |  0.45859% | 8190   |  2.566% | 0      |  0.000% | 
 | 126  | Raikou             |  0.45082% | 2180   |  0.683% | 0      |  0.000% | 
 | 127  | Ambipom            |  0.44648% | 5141   |  1.611% | 0      |  0.000% | 
 | 128  | Exploud            |  0.44447% | 3242   |  1.016% | 0      |  0.000% | 
 | 129  | Dragalge           |  0.44340% | 3131   |  0.981% | 0      |  0.000% | 
 | 130  | Skarmory           |  0.41637% | 5732   |  1.796% | 0      |  0.000% | 
 | 131  | Chansey            |  0.41511% | 6511   |  2.040% | 0      |  0.000% | 
 | 132  | Hippowdon          |  0.40333% | 2768   |  0.867% | 0      |  0.000% | 
 | 133  | Trevenant          |  0.37924% | 5422   |  1.699% | 0      |  0.000% | 
 | 134  | Shuckle            |  0.36847% | 6733   |  2.109% | 0      |  0.000% | 
 | 135  | Hawlucha           |  0.35848% | 3809   |  1.193% | 0      |  0.000% | 
